,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
437,0.016303133964538575,0.0007824200062822606,0.002098274230957031,0.000294786265453023,poisson,50,,3,10,"{'criterion': 'poisson', 'max_depth': 50, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.8180462053917523,0.647548831173983,0.697351233197699,0.6458286685744994,0.6441829027400572,0.27626160228309693,0.7408546427740442,0.6832243813580621,0.8497387868057137,0.7130592374510605,0.6716096491749968,0.14791213941154488,280
141,0.004997515678405761,0.0007729098451640032,0.002002406120300293,4.5587851857375355e-06,squared_error,20,50,8,2,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 50, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.7002335968657125,0.5298576324275386,0.6720920492855389,0.5499233990128822,0.7754605268733212,0.6066128797432195,0.7590232878676312,0.7310798807564669,0.8230989585470099,0.5666656855523098,0.671404789693163,0.09791322944916704,281
625,0.004398345947265625,0.0004906670808532838,0.002099776268005371,0.0002998453788344713,friedman_mse,5,50,3,5,"{'criterion': 'friedman_mse', 'max_depth': 5, 'max_features': 50, 'min_samples_leaf': 3, 'min_samples_split': 5}",0.7523409392368308,0.7563057371254438,0.6748512015301872,0.6424254453447534,0.7795915678337579,0.36412846927183884,0.7880924896495424,0.7099716765544295,0.6783279190321247,0.5617495600561926,0.6707785005635101,0.12161633451000724,282
49,0.01059725284576416,0.0006638571840323863,0.002100825309753418,0.0002998918743746552,squared_error,,150,3,5,"{'criterion': 'squared_error', 'max_depth': None, 'max_features': 150, 'min_samples_leaf': 3, 'min_samples_split': 5}",0.680451390578076,0.6389570946806565,0.588761601309379,0.6451076987856038,0.8484272505103672,0.30779655663102756,0.5914941520489307,0.8337543789684925,0.8609352340343999,0.7101682943139962,0.6705853651860931,0.1556807019074633,283
459,0.009199833869934082,0.0006024706767958157,0.002301311492919922,0.0004593397144594015,poisson,50,50,1,2,"{'criterion': 'poisson', 'max_depth': 50, 'max_features': 50, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7362971096560877,0.677058421415908,0.7183832565196184,0.6609262503267617,0.753009400710747,0.4437109919973512,0.7166544872712044,0.7022137991588061,0.734569915261629,0.5628786765252964,0.670570230884341,0.09155383474296759,284
974,0.2141995906829834,0.005687560167799384,0.0021008014678955077,0.0002996622258783131,absolute_error,50,,1,10,"{'criterion': 'absolute_error', 'max_depth': 50, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8446546449464941,0.6264499320832932,0.6672735421152616,0.6251764482044783,0.7296615312584314,0.4916990715522467,0.7309020309270857,0.749170927558314,0.5656463453093779,0.6745975002786251,0.6705231974233608,0.09521204504929057,285
113,0.01400144100189209,0.0006361581553612869,0.0019950389862060545,1.0685196179156682e-05,squared_error,20,,3,10,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.8266813172510076,0.6294447134573284,0.6621575300730413,0.757180948929935,0.6475802996071542,0.3260846500816571,0.6591368547660694,0.7083641276817346,0.836014276080534,0.6521349896701207,0.6704779707598583,0.13494577711859718,286
221,0.01419661045074463,0.0003980256538235939,0.002000880241394043,9.298324584960938e-07,squared_error,150,,3,10,"{'criterion': 'squared_error', 'max_depth': 150, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.8266813172510076,0.629337116945142,0.6538087243453636,0.7455079661024888,0.6623240071659257,0.31638978059727363,0.6594390878008174,0.7088259209449581,0.8382968125356465,0.663902694534535,0.6704513428223158,0.13683682467157887,287
373,0.007201147079467773,0.0005974712013825724,0.0021004438400268554,0.0002999392989197626,poisson,5,150,3,5,"{'criterion': 'poisson', 'max_depth': 5, 'max_features': 150, 'min_samples_leaf': 3, 'min_samples_split': 5}",0.7703242815502642,0.6692281893967276,0.7286561800328015,0.5797411932326348,0.8731996434500804,0.31487363353627273,0.7583096893613652,0.6278127208538183,0.8201524772656651,0.5610096370728155,0.6703307645752445,0.15266287283294983,288
463,0.006297516822814942,0.0004577852041673887,0.002001643180847168,0.0004475015778589297,poisson,50,50,3,5,"{'criterion': 'poisson', 'max_depth': 50, 'max_features': 50, 'min_samples_leaf': 3, 'min_samples_split': 5}",0.6882588376441969,0.7151707508006249,0.6618158868375279,0.5935278501668049,0.8940899353864007,0.35891446232445,0.7392862452026742,0.7444537492896683,0.6289415954332541,0.6787071528864146,0.6703166465972017,0.1293768956130097,289
275,0.01610116958618164,0.0005343529276451869,0.0019997596740722657,8.196330041332972e-06,poisson,,,3,10,"{'criterion': 'poisson', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10}",0.8298958012103518,0.6476254413721502,0.7032842738052625,0.6458286685744994,0.6465462015005963,0.2713540727410415,0.7408546427740442,0.6705439653821929,0.8352632396724743,0.7103326053696575,0.670152891240227,0.14872361622651906,290
469,0.010799074172973632,0.0003990092052184233,0.002101445198059082,0.0002998353311502638,poisson,50,100,1,5,"{'criterion': 'poisson', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7909840283885305,0.6434762638988272,0.73659741059048,0.6191144131936315,0.741899824124971,0.43209870305357734,0.6818057851177199,0.7617537691903297,0.7163062141123614,0.5738032730537312,0.669783968472416,0.10202330778264466,291
